run_tag	dataset	scan	mode	n_gt	n_pred	gt_coverage	pred_purity	p@0.25	r@0.25	f1@0.25	miou@0.25	tp@0.25	fp@0.25	fn@0.25	p@0.5	r@0.5	f1@0.5	miou@0.5	tp@0.5	fp@0.5	fn@0.5	p@0.75	r@0.75	f1@0.75	miou@0.75	tp@0.75	fp@0.75	fn@0.75
2026-05-29_030346_1140063	3RScan	43b8cae9-6678-2e38-9bc2-8c31ab832242	objects-only	18	28	0.338369	0.329183	0.437500	0.388889	0.411765	0.632850	7	9	11	0.266667	0.222222	0.242424	0.836675	4	11	14	0.187500	0.166667	0.176471	0.904775	3	13	15
2026-05-29_030346_1140063	3RScan	569d8f05-72aa-2f24-899c-58b243c8189d	objects-only	28	13	0.190726	0.353548	0.538462	0.250000	0.341463	0.523657	7	6	21	0.307692	0.142857	0.195122	0.644121	4	9	24	0.076923	0.035714	0.048780	0.780097	1	12	27
2026-05-29_030346_1140063	3RScan	0cac7536-8d6f-2d13-8dc2-2f9d7aa62dc4	objects-only	7	16	0.752455	0.689338	0.750000	0.857143	0.800000	0.856970	6	2	1	0.625000	0.714286	0.666667	0.943244	5	3	2	0.625000	0.714286	0.666667	0.943244	5	3	2
2026-05-29_030346_1140063	3RScan	c6707938-2ecb-2de2-811c-69f6f7a0e638	objects-only	29	15	0.233816	0.596963	1.000000	0.275862	0.432432	0.542046	8	0	21	0.666667	0.137931	0.228571	0.695086	4	2	25	0.125000	0.034483	0.054054	0.764156	1	7	28
2026-05-29_030346_1140063	3RScan	c7895f86-339c-2d13-82c8-3976988cd327	objects-only	25	17	0.265739	0.404852	0.769231	0.400000	0.526316	0.491232	10	3	15	0.363636	0.160000	0.222222	0.722016	4	7	21	0.166667	0.080000	0.108108	0.802167	2	10	23
2026-05-29_030346_1140063	3RScan	4138584b-a238-2435-8128-a939fb07c1c8	objects-only	10	10	0.504688	0.724188	0.857143	0.600000	0.705882	0.671932	6	1	4	0.750000	0.300000	0.428571	0.937577	3	1	7	0.428571	0.300000	0.352941	0.937577	3	4	7
2026-05-29_030346_1140063	3RScan	352e9c57-69fb-27a7-8bc7-4cf12e417e21	objects-only	16	12	0.167586	0.664521	1.000000	0.250000	0.400000	0.477225	4	0	12	1.000000	0.125000	0.222222	0.664521	2	0	14	0.000000	0.000000	0.000000	0.000000	0	2	16
2026-05-29_092718_1209383	3RScan	8f0f144b-55de-28ce-8053-2828b87a0cc9	all	11	10	0.547642	0.554471	0.800000	0.727273	0.761905	0.647427	8	2	3	0.500000	0.454545	0.476190	0.774774	5	5	6	0.300000	0.272727	0.285714	0.862748	3	7	8
2026-05-29_092718_1209383	3RScan	0958224e-e2c2-2de1-943b-38e36345e2e7	all	21	11	0.192944	0.307556	0.700000	0.333333	0.451613	0.368039	7	3	14	0.000000	0.000000	0.000000	0.000000	0	11	21	0.000000	0.000000	0.000000	0.000000	0	11	21
2026-05-29_092718_1209383	3RScan	09582225-e2c2-2de1-9564-f6681ef5e511	all	8	5	0.334726	0.438832	0.600000	0.375000	0.461538	0.626800	3	2	5	0.400000	0.250000	0.307692	0.769048	2	3	6	0.200000	0.125000	0.153846	0.908759	1	4	7
2026-05-29_092718_1209383	3RScan	0cac7627-8d6f-2d13-8eac-41764b5f2c5b	all	12	8	0.236941	0.392477	0.500000	0.333333	0.400000	0.579829	4	4	8	0.250000	0.166667	0.200000	0.780857	2	6	10	0.125000	0.083333	0.100000	0.945205	1	7	11
2026-05-29_092718_1209383	3RScan	8f0f1467-55de-28ce-8331-b670a7274af9	all	10	9	0.453242	0.471150	0.875000	0.700000	0.777778	0.592545	7	1	3	0.444444	0.400000	0.421053	0.716393	4	5	6	0.111111	0.100000	0.105263	0.957143	1	8	9
2026-05-29_092718_1209383	3RScan	0958220d-e2c2-2de1-9710-c37018da1883	all	17	16	0.332214	0.343346	0.666667	0.588235	0.625000	0.450939	10	5	7	0.125000	0.117647	0.121212	0.739138	2	14	15	0.062500	0.058824	0.060606	0.874636	1	15	16
2026-05-29_092718_1209383	3RScan	352e9c46-69fb-27a7-8b1d-bc83c253c676	all	8	6	0.483450	0.592328	0.833333	0.625000	0.714286	0.682964	5	1	3	0.833333	0.625000	0.714286	0.682964	5	1	3	0.333333	0.250000	0.285714	0.849206	2	4	6
2026-05-29_092718_1209383	3RScan	4d3d82a6-8cf4-2e04-828b-ceb5235b58a8	all	11	7	0.397350	0.537670	0.857143	0.545455	0.666667	0.567844	6	1	5	0.285714	0.181818	0.222222	0.925951	2	5	9	0.285714	0.181818	0.222222	0.925951	2	5	9
2026-05-29_092718_1209383	3RScan	b05fdd96-fca0-2d4f-88c3-d9dfda85c00e	all	15	11	0.343518	0.450965	0.727273	0.533333	0.615385	0.544960	8	3	7	0.454545	0.333333	0.384615	0.629553	5	6	10	0.090909	0.066667	0.076923	0.772656	1	10	14
2026-05-29_092718_1209383	3RScan	8f0f1437-55de-28ce-828e-dbf210a7f472	all	15	15	0.490573	0.505309	0.666667	0.666667	0.666667	0.622236	10	5	5	0.533333	0.533333	0.533333	0.681959	8	7	7	0.133333	0.133333	0.133333	0.893970	2	13	13
2026-05-29_092718_1209383	3RScan	09582212-e2c2-2de1-9700-fa44b14fbded	all	16	13	0.447206	0.552762	0.750000	0.562500	0.642857	0.727470	9	3	7	0.615385	0.500000	0.551724	0.767299	8	5	8	0.384615	0.312500	0.344828	0.844965	5	8	11
2026-05-29_092718_1209383	3RScan	d7d40d48-7a5d-2b36-97ad-692c9b56b508	all	16	12	0.464458	0.560358	0.818182	0.562500	0.666667	0.661091	9	2	7	0.583333	0.437500	0.500000	0.723278	7	5	9	0.333333	0.250000	0.285714	0.840293	4	8	12
2026-05-29_092718_1209383	3RScan	0cf75f4b-564d-23f5-899f-ff97701d3f3b	all	34	28	0.444904	0.510235	0.703704	0.558824	0.622951	0.658145	19	8	15	0.500000	0.411765	0.451613	0.761078	14	14	20	0.250000	0.205882	0.225806	0.890594	7	21	27
2026-05-29_092718_1209383	3RScan	fcf66d7b-622d-291c-86b8-7db96aebcee3	all	21	13	0.330583	0.500997	0.769231	0.476190	0.588235	0.573789	10	3	11	0.461538	0.285714	0.352941	0.717445	6	7	15	0.153846	0.095238	0.117647	0.860906	2	11	19
2026-05-29_092718_1209383	3RScan	ba6fdaa2-a4c1-2dca-81a8-2aacd785edd7	all	13	12	0.299329	0.299773	0.333333	0.307692	0.320000	0.676245	4	8	9	0.250000	0.230769	0.240000	0.769824	3	9	10	0.083333	0.076923	0.080000	0.988506	1	11	12
2026-05-29_092718_1209383	3RScan	d7d40d4e-7a5d-2b36-97e7-34324c52ac42	all	15	13	0.274054	0.300686	0.307692	0.266667	0.285714	0.639966	4	9	11	0.230769	0.200000	0.214286	0.751395	3	10	12	0.153846	0.133333	0.142857	0.876517	2	11	13
2026-05-29_092718_1209383	3RScan	43b8caed-6678-2e38-98f8-a76f51ef79af	all	13	5	0.190289	0.282252	0.600000	0.230769	0.333333	0.368939	3	2	10	0.000000	0.000000	0.000000	0.000000	0	5	13	0.000000	0.000000	0.000000	0.000000	0	5	13
2026-05-29_092718_1209383	3RScan	d7d40d39-7a5d-2b36-972e-a7c800ca7bbf	all	25	14	0.302208	0.437488	0.714286	0.400000	0.512821	0.538167	10	4	15	0.285714	0.160000	0.205128	0.768254	4	10	21	0.214286	0.120000	0.153846	0.825094	3	11	22
2026-05-29_092718_1209383	3RScan	75c25975-9ca2-2844-9769-84677f46d4cf	all	38	16	0.157047	0.348944	0.500000	0.210526	0.296296	0.516298	8	8	30	0.250000	0.105263	0.148148	0.692443	4	12	34	0.062500	0.026316	0.037037	0.768730	1	15	37
2026-05-29_092718_1209383	3RScan	fcf66d94-622d-291c-85fc-284b68d64c81	all	26	20	0.433821	0.511613	0.750000	0.576923	0.652174	0.633373	15	5	11	0.450000	0.346154	0.391304	0.814784	9	11	17	0.250000	0.192308	0.217391	0.981571	5	15	21
2026-05-29_092718_1209383	3RScan	b8837e16-57ec-29c6-89c3-0e8b7d668f56	all	7	6	0.549750	0.542162	0.833333	0.714286	0.769231	0.642546	5	1	2	0.500000	0.428571	0.461538	0.775337	3	3	4	0.333333	0.285714	0.307692	0.872001	2	4	5
2026-05-29_092718_1209383	3RScan	6bde6070-9162-246f-8ea9-c8bbe5d7133a	all	25	10	0.224355	0.459824	0.600000	0.240000	0.342857	0.675599	6	4	19	0.500000	0.200000	0.285714	0.735112	5	5	20	0.200000	0.080000	0.114286	0.934721	2	8	23
2026-05-29_092718_1209383	3RScan	2e36954b-e133-204c-92ad-1a66c6f63e1a	all	18	18	0.399072	0.440515	0.722222	0.722222	0.722222	0.484183	13	5	5	0.277778	0.277778	0.277778	0.651126	5	13	13	0.055556	0.055556	0.055556	1.000000	1	17	17
2026-05-29_092718_1209383	3RScan	6a360567-fa53-2915-9617-da8aa432752d	all	16	9	0.199557	0.322450	0.666667	0.375000	0.480000	0.401130	6	3	10	0.111111	0.062500	0.080000	0.669151	1	8	15	0.000000	0.000000	0.000000	0.000000	0	9	16
2026-05-29_092718_1209383	3RScan	bcb0fe27-4f39-2c70-9dae-5c8625b3553d	all	20	9	0.208651	0.363084	0.555556	0.250000	0.344828	0.526436	5	4	15	0.222222	0.100000	0.137931	0.785714	2	7	18	0.111111	0.050000	0.068966	1.000000	1	8	19
2026-05-29_092718_1209383	3RScan	6a36054b-fa53-2915-946e-4ec15f811f6e	all	12	7	0.355075	0.524290	0.857143	0.500000	0.631579	0.559323	6	1	6	0.428571	0.250000	0.315789	0.737078	3	4	9	0.285714	0.166667	0.210526	0.800089	2	5	10
2026-05-29_092718_1209383	3RScan	09582244-e2c2-2de1-956c-357092d949d1	all	11	7	0.319799	0.495410	0.714286	0.454545	0.555556	0.609247	5	2	6	0.428571	0.272727	0.333333	0.760567	3	4	8	0.142857	0.090909	0.111111	1.000000	1	6	10
2026-05-29_092718_1209383	3RScan	20c993b7-698f-29c5-847d-c8cb8a685f5a	all	14	20	0.357247	0.286330	0.500000	0.714286	0.588235	0.433427	10	10	4	0.200000	0.285714	0.235294	0.588682	4	16	10	0.050000	0.071429	0.058824	0.754564	1	19	13
2026-05-29_092718_1209383	3RScan	b05fddd1-fca0-2d4f-8ab9-ecffab72e046	all	33	22	0.308681	0.428038	0.545455	0.363636	0.436364	0.645186	12	10	21	0.409091	0.272727	0.327273	0.758732	9	13	24	0.272727	0.181818	0.218182	0.854129	6	16	27
2026-05-29_092718_1209383	3RScan	bf9a3de7-45a5-2e80-81a4-fd6126f6417b	all	44	30	0.260273	0.341672	0.466667	0.318182	0.378378	0.546734	14	16	30	0.233333	0.159091	0.189189	0.718028	7	23	37	0.100000	0.068182	0.081081	0.854180	3	27	41
2026-05-29_092718_1209383	3RScan	95be45db-a558-22da-9eac-5cea5debfcd8	all	34	11	0.116876	0.285065	0.272727	0.088235	0.133333	0.616717	3	8	31	0.181818	0.058824	0.088889	0.786035	2	9	32	0.181818	0.058824	0.088889	0.786035	2	9	32
2026-05-29_092718_1209383	3RScan	1776ad7c-4db7-2333-88b3-edb7a9803f6f	all	25	15	0.185844	0.308446	0.466667	0.280000	0.350000	0.496728	7	8	18	0.200000	0.120000	0.150000	0.623256	3	12	22	0.066667	0.040000	0.050000	0.752556	1	14	24
2026-05-29_092718_1209383	3RScan	dbeb4cee-faf9-2324-991e-79c1f7e0b908	all	39	24	0.190227	0.290154	0.476190	0.256410	0.333333	0.501779	10	11	29	0.173913	0.102564	0.129032	0.707229	4	19	35	0.043478	0.025641	0.032258	0.953271	1	22	38
2026-05-29_092718_1209383	3RScan	bcb0fe33-4f39-2c70-9cb1-081014d8a9b8	all	29	19	0.118672	0.152530	0.157895	0.103448	0.125000	0.367900	3	16	26	0.000000	0.000000	0.000000	0.000000	0	19	29	0.000000	0.000000	0.000000	0.000000	0	19	29
2026-05-29_092718_1209383	3RScan	2e36955d-e133-204c-90da-122ae14d42a3	all	14	8	0.230345	0.326410	0.625000	0.357143	0.454545	0.437433	5	3	9	0.125000	0.071429	0.090909	0.585948	1	7	13	0.000000	0.000000	0.000000	0.000000	0	8	14
2026-05-29_092718_1209383	3RScan	bcb0fe1b-4f39-2c70-9f8c-2256ea9752ab	all	21	9	0.251560	0.471035	0.666667	0.285714	0.400000	0.614046	6	3	15	0.333333	0.142857	0.200000	0.842775	3	6	18	0.333333	0.142857	0.200000	0.842775	3	6	18
2026-05-29_092718_1209383	3RScan	352e9c3e-69fb-27a7-8976-a6860f84f876	all	31	24	0.225951	0.299622	0.478261	0.354839	0.407407	0.491094	11	12	20	0.250000	0.193548	0.218182	0.629137	6	18	25	0.041667	0.032258	0.036364	1.000000	1	23	30
2026-05-29_092718_1209383	3RScan	6ed38500-7db9-2d45-810c-865e82827b54	all	37	14	0.152513	0.302976	0.538462	0.189189	0.280000	0.482183	7	6	30	0.142857	0.054054	0.078431	0.800116	2	12	35	0.142857	0.054054	0.078431	0.800116	2	12	35
2026-05-29_092718_1209383	3RScan	422885bf-192d-25fc-8509-1fd7def9cc19	all	19	6	0.131339	0.325844	0.500000	0.157895	0.240000	0.577472	3	3	16	0.333333	0.105263	0.160000	0.713933	2	4	17	0.000000	0.000000	0.000000	0.000000	0	6	19
2026-05-29_092718_1209383	3RScan	0cac7676-8d6f-2d13-8f3a-d7bf7f03e721	all	43	24	0.120499	0.224241	0.217391	0.116279	0.151515	0.470435	5	18	38	0.086957	0.046512	0.060606	0.665870	2	21	41	0.043478	0.023256	0.030303	0.826990	1	22	42
2026-05-29_092718_1209383	3RScan	c7895f1d-339c-2d13-820f-f998ab956707	all	41	21	0.190917	0.327983	0.428571	0.219512	0.290323	0.552719	9	12	32	0.238095	0.121951	0.161290	0.669139	5	16	36	0.095238	0.048780	0.064516	0.903191	2	19	39
2026-05-29_092718_1209383	3RScan	a0906006-66f7-2272-9e46-51000ffe6623	all	25	30	0.353410	0.322460	0.466667	0.560000	0.509091	0.538090	14	16	11	0.233333	0.280000	0.254545	0.700310	7	23	18	0.100000	0.120000	0.109091	0.844193	3	27	22
2026-05-29_092718_1209383	3RScan	422885b3-192d-25fc-84c9-9b80eea1752d	all	17	4	0.178993	0.468969	0.500000	0.117647	0.190476	0.715854	2	2	15	0.250000	0.058824	0.095238	0.937220	1	3	16	0.250000	0.058824	0.095238	0.937220	1	3	16
2026-05-29_092718_1209383	3RScan	0cac760f-8d6f-2d13-8d9d-2d8df8f8cb6e	all	32	13	0.197131	0.387801	0.692308	0.281250	0.400000	0.508363	9	4	23	0.307692	0.125000	0.177778	0.720437	4	9	28	0.153846	0.062500	0.088889	0.900801	2	11	30
2026-05-29_092718_1209383	3RScan	1d234018-e280-2b1a-8f22-da2b997865e8	all	29	26	0.166619	0.157467	0.192308	0.172414	0.181818	0.633028	5	21	24	0.153846	0.137931	0.145455	0.666732	4	22	25	0.038462	0.034483	0.036364	0.795775	1	25	28
2026-05-29_092718_1209383	3RScan	5630cfcf-12bf-2860-8784-83d28a611a83	all	25	10	0.235921	0.435625	0.700000	0.280000	0.400000	0.590866	7	3	18	0.500000	0.200000	0.285714	0.670345	5	5	20	0.100000	0.040000	0.057143	0.782609	1	9	24
2026-05-29_092718_1209383	3RScan	0cac767e-8d6f-2d13-8d1a-d5e9b184df15	all	65	28	0.111844	0.233505	0.392857	0.169231	0.236559	0.443079	11	17	54	0.178571	0.076923	0.107527	0.623078	5	23	60	0.035714	0.015385	0.021505	0.797468	1	27	64
2026-05-29_092718_1209383	3RScan	bf9a3da2-45a5-2e80-8219-1f0a216399fe	all	23	16	0.126804	0.151188	0.125000	0.086957	0.102564	0.379192	2	14	21	0.000000	0.000000	0.000000	0.000000	0	16	23	0.000000	0.000000	0.000000	0.000000	0	16	23
2026-05-29_092718_1209383	3RScan	0cac759b-8d6f-2d13-8e3b-2e3bc1ee1158	all	39	34	0.262438	0.315005	0.454545	0.384615	0.416667	0.580274	15	18	24	0.303030	0.256410	0.277778	0.712832	10	23	29	0.121212	0.102564	0.111111	0.827676	4	29	35
2026-05-29_092718_1209383	3RScan	6bde6079-9162-246f-8fad-d8f2358bd413	all	17	16	0.298169	0.296234	0.500000	0.470588	0.484848	0.460316	8	8	9	0.125000	0.117647	0.121212	0.649817	2	14	15	0.062500	0.058824	0.060606	0.759825	1	15	16
2026-05-29_092718_1209383	3RScan	0cac75ad-8d6f-2d13-8c74-5de4dfc4affc	all	39	9	0.090305	0.260265	0.444444	0.102564	0.166667	0.425631	4	5	35	0.111111	0.025641	0.041667	0.527652	1	8	38	0.000000	0.000000	0.000000	0.000000	0	9	39
2026-05-29_092718_1209383	3RScan	a644cb9b-0ee5-2f66-9ee4-52027f9ba7d5	all	15	8	0.249591	0.457302	0.625000	0.333333	0.434783	0.680194	5	3	10	0.500000	0.266667	0.347826	0.787465	4	4	11	0.250000	0.133333	0.173913	0.938360	2	6	13
2026-05-29_092718_1209383	3RScan	13124cb2-cec3-27a6-8583-cc0a9d6d1a9a	all	32	17	0.185617	0.294487	0.411765	0.218750	0.285714	0.525645	7	10	25	0.294118	0.156250	0.204082	0.579833	5	12	27	0.000000	0.000000	0.000000	0.000000	0	17	32
2026-05-29_092718_1209383	3RScan	0cac7584-8d6f-2d13-8df8-c05e4307b418	all	43	35	0.226330	0.268672	0.400000	0.325581	0.358974	0.546269	14	21	29	0.171429	0.139535	0.153846	0.759137	6	29	37	0.085714	0.069767	0.076923	0.870115	3	32	40
2026-05-29_092718_1209383	3RScan	68bae772-3567-2f7c-804c-d77a47cdc508	all	32	16	0.185021	0.321948	0.375000	0.187500	0.250000	0.577915	6	10	26	0.187500	0.093750	0.125000	0.809020	3	13	29	0.125000	0.062500	0.083333	0.877001	2	14	30
2026-05-29_092718_1209383	3RScan	0cac7602-8d6f-2d13-8ca7-c26866c2e42f	all	27	16	0.120831	0.198983	0.125000	0.074074	0.093023	0.632404	2	14	25	0.062500	0.037037	0.046512	0.897710	1	15	26	0.062500	0.037037	0.046512	0.897710	1	15	26
2026-05-29_092718_1209383	3RScan	0cac7635-8d6f-2d13-8ea5-25f4dc197d1d	all	41	32	0.219767	0.263573	0.437500	0.341463	0.383562	0.498300	14	18	27	0.187500	0.146341	0.164384	0.726818	6	26	35	0.062500	0.048780	0.054795	0.930398	2	30	39
2026-05-29_092718_1209383	3RScan	1c211546-f201-2d25-862b-6323518ec6e1	all	48	18	0.139507	0.278560	0.470588	0.166667	0.246154	0.493297	8	9	40	0.176471	0.062500	0.092308	0.664367	3	14	45	0.000000	0.000000	0.000000	0.000000	0	17	48
2026-05-29_092718_1209383	3RScan	6bde6055-9162-246f-8f44-e3efc21c9e14	all	9	11	0.360319	0.316677	0.363636	0.444444	0.400000	0.714097	4	7	5	0.272727	0.333333	0.300000	0.787515	3	8	6	0.181818	0.222222	0.200000	0.888831	2	9	7
2026-05-29_092718_1209383	3RScan	1d233ff6-e280-2b1a-8ed5-3eec62f9bb3f	all	35	15	0.190558	0.350210	0.466667	0.200000	0.280000	0.625756	7	8	28	0.266667	0.114286	0.160000	0.805660	4	11	31	0.133333	0.057143	0.080000	0.927919	2	13	33
2026-05-29_092718_1209383	3RScan	6bde604b-9162-246f-8fb2-2dea80e7fb4c	all	21	39	0.529606	0.322325	0.333333	0.619048	0.433333	0.810843	13	26	8	0.282051	0.523810	0.366667	0.877735	11	28	10	0.205128	0.380952	0.266667	0.964521	8	31	13
2026-05-29_092718_1209383	3RScan	68bae76e-3567-2f7c-82bd-a09641695364	all	17	18	0.207770	0.199360	0.277778	0.294118	0.285714	0.545512	5	13	12	0.222222	0.235294	0.228571	0.602027	4	14	13	0.055556	0.058824	0.057143	0.771750	1	17	16
2026-05-29_092718_1209383	3RScan	6bde6091-9162-246f-8ea8-fdfd6c0a7f77	all	16	17	0.315701	0.282604	0.411765	0.437500	0.424242	0.554533	7	10	9	0.235294	0.250000	0.242424	0.749483	4	13	12	0.117647	0.125000	0.121212	0.891214	2	15	14
2026-05-29_092718_1209383	3RScan	c7895f0d-339c-2d13-837c-6e5d8b7be7a8	all	22	20	0.226832	0.238190	0.368421	0.318182	0.341463	0.430272	7	12	15	0.052632	0.045455	0.048780	0.529055	1	18	21	0.000000	0.000000	0.000000	0.000000	0	19	22
2026-05-29_092718_1209383	3RScan	0cac75dc-8d6f-2d13-8d08-9c497bd6acdc	all	39	22	0.142454	0.244647	0.318182	0.179487	0.229508	0.489425	7	15	32	0.136364	0.076923	0.098361	0.631477	3	19	36	0.000000	0.000000	0.000000	0.000000	0	22	39
2026-05-29_092718_1209383	3RScan	baf673a6-8e94-22f8-8047-575f7de04f21	all	9	6	0.395647	0.533869	0.666667	0.444444	0.533333	0.749176	4	2	5	0.666667	0.444444	0.533333	0.749176	4	2	5	0.333333	0.222222	0.266667	0.875028	2	4	7
2026-05-29_092718_1209383	3RScan	baf6738b-8e94-22f8-8085-24c4e5ef5220	all	11	5	0.251758	0.506342	0.800000	0.363636	0.500000	0.582259	4	1	7	0.200000	0.090909	0.125000	0.989824	1	4	10	0.200000	0.090909	0.125000	0.989824	1	4	10
2026-05-29_092718_1209383	3RScan	0cac755e-8d6f-2d13-8c6a-c0979ca34a4f	all	10	13	0.708410	0.556784	0.615385	0.800000	0.695652	0.834434	8	5	2	0.538462	0.700000	0.608696	0.883686	7	6	3	0.461538	0.600000	0.521739	0.918366	6	7	4
2026-05-29_092718_1209383	3RScan	8eabc45f-5af7-2f32-8528-640861d2a135	all	58	30	0.278130	0.452081	0.733333	0.379310	0.500000	0.576504	22	8	36	0.400000	0.206897	0.272727	0.741446	12	18	46	0.200000	0.103448	0.136364	0.856128	6	24	52
2026-05-29_092718_1209383	3RScan	6bde60a3-9162-246f-8ca3-48f7e86e95b8	all	21	18	0.395799	0.452964	0.555556	0.476190	0.512821	0.755434	10	8	11	0.388889	0.333333	0.358974	0.925290	7	11	14	0.388889	0.333333	0.358974	0.925290	7	11	14
2026-05-29_092718_1209383	3RScan	6bde608d-9162-246f-8dde-3f158d134d50	all	15	14	0.303716	0.332924	0.500000	0.466667	0.482759	0.537736	7	7	8	0.285714	0.266667	0.275862	0.661918	4	10	11	0.071429	0.066667	0.068966	0.825324	1	13	14
2026-05-29_092718_1209383	3RScan	56d957ed-0184-2301-8f4f-616c3b537e45	all	2	5	0.709403	0.385989	0.400000	1.000000	0.571429	0.709403	2	3	0	0.400000	1.000000	0.571429	0.709403	2	3	0	0.200000	0.500000	0.285714	0.752071	1	4	1
2026-05-29_092718_1209383	3RScan	1713f852-5300-2104-8658-73b77b66af61	all	39	31	0.267141	0.338344	0.516129	0.410256	0.457143	0.533256	16	15	23	0.225806	0.179487	0.200000	0.772520	7	24	32	0.096774	0.076923	0.085714	0.911088	3	28	36
2026-05-29_092718_1209383	3RScan	c9fb7aa5-2a5b-2cf7-902e-42a0339c7242	all	10	14	0.304216	0.236113	0.357143	0.500000	0.416667	0.512119	5	9	5	0.285714	0.400000	0.333333	0.570589	4	10	6	0.000000	0.000000	0.000000	0.000000	0	14	10
2026-05-29_092718_1209383	3RScan	baf67389-8e94-22f8-8055-1d869ecfede9	all	24	25	0.424940	0.419416	0.600000	0.625000	0.612245	0.645112	15	10	9	0.440000	0.458333	0.448980	0.740436	11	14	13	0.160000	0.166667	0.163265	0.931430	4	21	20
2026-05-29_092718_1209383	3RScan	c92fb5b3-f771-2064-86f2-f14da264bfcf	all	26	10	0.193461	0.352413	0.555556	0.192308	0.285714	0.566131	5	4	21	0.300000	0.115385	0.166667	0.700701	3	7	23	0.100000	0.038462	0.055556	0.751629	1	9	25
2026-05-29_092718_1209383	3RScan	c92fb586-f771-2064-8678-a16eca03ac79	all	24	9	0.266224	0.507597	1.000000	0.375000	0.545455	0.507597	9	0	15	0.333333	0.125000	0.181818	0.793691	3	6	21	0.222222	0.083333	0.121212	0.938983	2	7	22
2026-05-29_092718_1209383	3RScan	b8837e28-57ec-29c6-89cf-e1768353440f	all	13	13	0.464150	0.490760	0.615385	0.615385	0.615385	0.689078	8	5	5	0.461538	0.461538	0.461538	0.799012	6	7	7	0.230769	0.230769	0.230769	0.905134	3	10	10
2026-05-29_092718_1209383	3RScan	6a36052d-fa53-2915-9764-30d81b2cc2b5	all	16	10	0.280069	0.411354	0.700000	0.437500	0.538462	0.491071	7	3	9	0.300000	0.187500	0.230769	0.647317	3	7	13	0.100000	0.062500	0.076923	0.767901	1	9	15
2026-05-29_092718_1209383	3RScan	bf9a3db6-45a5-2e80-825a-e599db74ba26	all	31	14	0.316789	0.533385	0.857143	0.387097	0.533333	0.594202	12	2	19	0.642857	0.290323	0.400000	0.659402	9	5	22	0.142857	0.064516	0.088889	0.916830	2	12	29
2026-05-29_092718_1209383	3RScan	4238490c-60a7-271e-9f38-3c651e3b3912	all	20	8	0.171878	0.304865	0.625000	0.250000	0.357143	0.385468	5	3	15	0.125000	0.050000	0.071429	0.563674	1	7	19	0.000000	0.000000	0.000000	0.000000	0	8	20
2026-05-29_092718_1209383	3RScan	8eabc42c-5af7-2f32-87c4-bf646779aa62	all	28	11	0.263032	0.525617	0.900000	0.321429	0.473684	0.607036	9	1	19	0.545455	0.214286	0.307692	0.702043	6	5	22	0.181818	0.071429	0.102564	0.849181	2	9	26
2026-05-29_092718_1209383	3RScan	b1d87fb0-e72e-2c8c-9f01-25dafeddf472	all	22	8	0.191677	0.313394	0.625000	0.227273	0.333333	0.405520	5	3	17	0.125000	0.045455	0.066667	0.549632	1	7	21	0.000000	0.000000	0.000000	0.000000	0	8	22
2026-05-29_092718_1209383	3RScan	ebc42044-82a4-2113-8789-1c8c8bb7cbcd	all	19	9	0.278670	0.474170	0.666667	0.315789	0.428571	0.618951	6	3	13	0.666667	0.315789	0.428571	0.618951	6	3	13	0.111111	0.052632	0.071429	0.862408	1	8	18
2026-05-29_092718_1209383	3RScan	422885bd-192d-25fc-8571-abff2237f383	all	21	8	0.298186	0.629722	0.875000	0.333333	0.482759	0.707580	7	1	14	0.750000	0.285714	0.413793	0.764959	6	2	15	0.375000	0.142857	0.206897	0.873961	3	5	18
2026-05-29_092718_1209383	3RScan	0ad2d399-79e2-2212-99cf-7a3512734bd7	all	36	9	0.159409	0.514566	0.666667	0.166667	0.266667	0.709388	6	3	30	0.555556	0.138889	0.222222	0.776473	5	4	31	0.333333	0.083333	0.133333	0.860406	3	6	33
2026-05-29_092718_1209383	3RScan	4d3d82b0-8cf4-2e04-80a8-c955ea964c2f	all	22	7	0.202308	0.391323	0.500000	0.136364	0.214286	0.616117	3	3	19	0.285714	0.090909	0.137931	0.677886	2	5	20	0.000000	0.000000	0.000000	0.000000	0	7	22
2026-05-29_092718_1209383	3RScan	8eabc469-5af7-2f32-840f-c1be88e46c62	all	15	15	0.313163	0.280688	0.600000	0.600000	0.600000	0.417165	9	6	6	0.133333	0.133333	0.133333	0.679888	2	13	13	0.000000	0.000000	0.000000	0.000000	0	15	15
2026-05-29_092718_1209383	3RScan	742e8f15-be0a-294e-9ebb-6c72dbcb9662	all	25	15	0.249114	0.376402	0.600000	0.360000	0.450000	0.517832	9	6	16	0.266667	0.160000	0.200000	0.734014	4	11	21	0.133333	0.080000	0.100000	0.874976	2	13	23
2026-05-29_092718_1209383	3RScan	095821f7-e2c2-2de1-9568-b9ce59920e29	all	12	8	0.316820	0.399592	0.625000	0.416667	0.500000	0.544573	5	3	7	0.250000	0.166667	0.200000	0.738612	2	6	10	0.125000	0.083333	0.100000	0.859846	1	7	11
2026-05-29_092718_1209383	3RScan	5341b79f-8a66-2cdd-84d5-6dba6525dd75	all	23	9	0.152434	0.325116	0.666667	0.260870	0.375000	0.385768	6	3	17	0.111111	0.043478	0.062500	0.531350	1	8	22	0.000000	0.000000	0.000000	0.000000	0	9	23
